原 id,id,type,question,option_1,option_2,option_3,answer,media_file,解析
18,m_txt_017,choice_text,車禍中不醒人事的骨折傷患，,除非情況緊急，否則不得任意移動,搬動傷患前，應先處理呼吸困難、出血、骨折等情形,以上皆是,3,,處理不醒人事骨折傷患，應避免任意移動，並優先處理危及生命的呼吸、出血問題
19,m_txt_018,choice_text,車禍肇事時，傷者有休克現象時臉色呈,蒼白,鉛灰色,潮紅症狀,1,,傷者休克時，因血液循環不足，臉色通常會呈現蒼白
20,m_txt_019,choice_text,前方路上發生事故，警察已到現場處理，應如何做比較好？,停在路旁觀看,繞道離開，不可好奇在現場停留觀看,留下幫忙順便打卡,2,,警方已在處理事故，應繞道離開，避免圍觀造成交通阻塞或二次事故
21,m_txt_020,choice_text,速度愈高停車距離：,不變,愈小,愈長,3,,速度越高，需要更長的反應時間與煞車距離，因此停車距離會愈長
22,m_txt_021,choice_text,如遇油料著火，應即：,用水撲滅,用滅火器及泥沙或用水浸濕棉被衣服覆蓋撲滅,就近取樹枝撲滅,2,,油料著火不可用水撲滅，應使用滅火器、泥沙或濕棉被衣物覆蓋隔絕氧氣
23,m_txt_022,choice_text,發生交通事故時，當事人應儘量在現場尋找：,親朋好友,目擊證人,法律人士以利協助案情釐清,2,,發生交通事故時，尋找目擊證人有助於釐清事故經過與責任歸屬
24,m_txt_023,choice_text,下坡行駛時,可以關閉電門，空檔滑行,不得將引擎熄火空檔滑行,無規定,2,,下坡行駛時不得熄火空檔滑行，以免失去動力輔助，導致煞車或轉向失控
25,m_txt_024,choice_text,下列哪些地方是高危險區，應避免停駐？,路面正落下小石塊,有防落石柵處或路邊護欄受撞擊扭曲變形,以上皆是,3,,路面落石、防落石柵受損或護欄變形處，皆代表潛在危險，應避免停駐
26,m_txt_025,choice_text,駕駛人駕駛汽車肇事致人受傷或死亡者，應即採取救護措施及依規定處置，並通知警察機關處理，不得任意移動肇事汽車及現場痕跡證據，違反者,應處以罰鍰,車輛沒入,記違規紀錄 1 次,1,,肇事致人受傷或死亡，未依規定處理，如任意移動現場，將處以罰鍰
27,m_txt_026,choice_text,道路交通事故係指以下何者在道路上行駛，致有人受傷或死亡？,車輛,動力機械,以上皆是,3,,道路交通事故泛指車輛及動力機械在道路上行駛，造成人員受傷或死亡的事件
28,m_txt_027,choice_text,下列何者非屬重大道路交通事故？,死亡人數在 3 人以上,死亡及受傷人數在 10 人以上,受傷人數在 14 人以下,3,,重大交通事故通常定義為死亡 3 人以上、死傷 10 人以上或受傷 15 人以上受傷 14 人以下不符合此標準
29,m_txt_028,choice_text,下列何者係屬重大交通事故？,死亡人數在 3 人以上或死亡及受傷人數在 10 人以上或受傷人數在 15 人以上,運送之危險物品發生爆炸燃燒或有毒液氣體放射性物質洩漏等事故,以上皆是,3,,重大交通事故包含多人死傷、危險物品洩漏爆炸等嚴重情況，以上皆屬之
30,m_txt_029,choice_text,駕駛人駕車肇事，無人受傷或死亡且機車尚能行駛，應優先,等待警察前來處理,將車輛位置標繪後並迅速移置路邊,通知保險公司,2,,無人傷亡且車輛尚能行駛的輕微事故，應先標繪車輛位置後迅速移置路邊，避免阻礙交通
31,m_txt_030,choice_text,肇事後在地面標繪相關證物位置後，下列何種狀況應將車輛立即移至路邊，切勿妨礙交通？,輕微事故無人傷亡,有人重傷,有人死亡,1,,輕微事故無人傷亡時，標繪位置後應立即將車輛移至路邊，以維持交通順暢
32,m_txt_031,choice_text,駕駛人駕駛機車肇事無人受傷或死亡，且機車尚能行駛而不儘速將位置標繪移置路邊，致妨礙交通者處罰,留置該機車,罰鍰,扣留牌照,2,,無人傷亡事故未迅速移置車輛妨礙交通者，依法處以罰鍰
33,m_txt_032,choice_text,肇事時，若以路權責任歸屬，下列何者為正確：,直行車應讓轉彎車,先到路口者先行,轉彎車應讓直行車,3,,一般道路交通法規中，轉彎車輛應禮讓直行車先行，以確保行車安全
34,m_txt_033,choice_text,有關呼吸、心跳停止的急救常識：暢通呼吸道，檢查呼吸不超過,5 秒鐘,10 秒鐘,30 秒鐘,2,,檢查傷患呼吸應在 10 秒鐘內完成，以盡快判斷是否需進行心肺復甦術
35,m_txt_034,choice_text,進行 CPR(心肺復甦術)，胸外按壓與人工呼吸之比率，成人為,30:02:00,15:02,5：1,1,,成人 CPR 的胸外按壓與人工呼吸比率為 30：2，以維持有效的血液循環與氧氣供應
36,m_txt_035,choice_text,確定傷患無意識時，需進行心肺復甦術，胸部按壓之頻率約為,18 次/每分鐘,72 次/每分鐘,100 次/每分鐘,3,,心肺復甦術的胸部按壓頻率應為每分鐘 100 至 120 次，以維持有效的血液循環
37,m_txt_036,choice_text,發現傷者哪個部位受傷時，應告知並維持他不受移動？,頸部,脊椎,以上皆是,3,,頸部與脊椎受傷時，任何移動都可能造成更嚴重傷害，應保持不動並等待專業救援
38,m_txt_037,choice_text,維持呼吸道暢通是急救的首要任務，但如果傷者頸椎受傷，適合哪個方法維持呼吸道暢通？,推下顎法,抬下巴壓額法,壓下巴抬額法,1,,頸椎受傷的傷患，應使用推下顎法來暢通呼吸道，避免頭頸部移動
39,m_txt_038,choice_text,下列何者為正確的心外按摩位置？,胸骨外緣,胸骨上緣,兩乳頭連線中央胸骨上,3,,正確的心外按摩位置是兩乳頭連線中央的胸骨下半部，確保按壓效果
40,m_txt_039,choice_text,下列哪個表徵顯示個案有呼吸道阻塞？,手抱肚子，彎腰一直喊痛,手抓住頸部無法說話,手按住胸口無法說話,2,,呼吸道阻塞的典型表徵是手抓住頸部，表示氣道受阻無法說話或呼吸
41,m_txt_040,choice_text,下列何者需執行哈姆立克氏施救法？,個案昏迷時,懷疑呼吸道阻塞時,懷疑心肌梗塞時,2,,哈姆立克氏施救法專用於處理意識清醒者因異物造成的呼吸道阻塞
42,m_txt_041,choice_text,當發生車禍時，有名傷者大量出血，下列急救處理方式中何者錯誤？,確定出血位置，剪開衣物，加壓止血,使用止血帶止血法，並且每隔 15~20 分鐘就鬆開一次,將出血患肢放置低於心臟的位置，這樣血才不會流太多,3,,大量出血時應抬高患肢高於心臟位置，以減緩血液流向傷口，幫助止血
43,m_txt_042,choice_text,CPR(心肺復甦術)在心跳停止多久後必須馬上執行，以免造成腦部不可逆的傷害？,在 10~15 分鐘內,在 8~10 分鐘內,在 4~6 分鐘內,3,,心跳停止後 4-6 分鐘內執行 CPR 最關鍵，可大幅降低腦部不可逆的損傷
44,m_txt_043,choice_text,施行哈姆立克急救法時，雙手應握拳施力於病人的何處？,肚臍左方,肚臍下方,肚臍與胸骨的中間位置,3,,哈姆立克法施力位置應在肚臍上方、胸骨下緣之間，避免傷及內臟
45,m_txt_044,choice_text,急救的優先做法為何？,把頭擺正,輕拍病患，並評估意識,聽診呼吸音,2,,急救首要步驟是確認患者意識狀態，輕拍並呼喚以判斷反應
46,m_txt_045,choice_text,在化學傷害的緊急處理的措施為何？,沖洗患部,找中和劑,脫除衣物,1,,化學傷害首要處理是大量流動清水沖洗患部，以稀釋並移除化學物質
47,m_txt_046,choice_text,因外傷導致腿部出血，下列措施何者適當？,不可使用止血帶，以防患肢壞死,宜在傷口上加壓止血,避免抬高患肢,2,,腿部出血應直接在傷口上加壓止血，並抬高患肢，減緩血液流失
48,m_txt_047,choice_text,請依急救原則，決定急救順序：A 止血 B 維持呼吸道通暢 C 固定骨折,A→B→C,B→C→A,B→A→C,3,,急救順序應為維持呼吸道暢通(B)、止血(A)、固定骨折(C)，優先處理生命威脅
49,m_txt_048,choice_text,下列有關一氧化碳中毒的敘述，下列何者錯誤？,瓦斯外漏、汽車引擎排出的廢氣都是造成一氧化碳中毒的原因,患者的皮膚呈黑色,一氧化碳中毒時，須馬上將患者移出危險環境，並給予 100%氧氣吸入,2,,一氧化碳中毒患者皮膚通常呈櫻桃紅，而非黑色
50,m_txt_049,choice_text,CPR(心肺復甦術)時觀察患者有無呼吸的方法，不包括下列何者？,看胸部有無起伏,感覺有無氣體呼出,摸有無頸動脈跳動,3,,觀察呼吸的方法包括看胸部起伏和感覺有無氣體呼出，摸頸動脈是檢查脈搏
51,m_txt_050,choice_text,如患者有骨折，下列何者為不適當的急救處置？,移動患者骨折處，擺出能使患者舒服的臥位,優先處理出血或休克，再以夾板固定患部,不要隨意移動患者的骨折部位,1,,骨折患者應避免移動骨折部位，以免造成二次傷害或加劇疼痛
52,m_txt_051,choice_text,關於一般傷口的急救法，下列何者錯誤？,先不要做任何處置，應靜待急救人員,使用流動的水或生理食鹽水來清理傷口,大量流血時，應用止血法,1,,一般傷口應立即清理止血，不可靜待急救人員，以免延誤處理
53,m_txt_052,choice_text,當發現有人昏迷時，下列何者為首要措施？,直接進行 CPR(心肺復甦術),確認患者的意識狀態與脈搏,立刻使用自動體外去顫器（AED),2,,發現昏迷者，首要確認其意識狀態與脈搏，才能判斷是否需 CPR 或 AED
54,m_txt_053,choice_text,對於意識不清的患者，最好的姿位為下列何者？,半坐臥,復甦姿勢,平躺,2,,意識不清患者應採復甦姿勢，以保持呼吸道暢通，避免嘔吐物嗆入
55,m_txt_054,choice_text,執行 CPR(心肺復甦術)後，患者已逐漸恢復呼吸及心跳，請問依照現在此患者的狀況，最適合的姿勢為何者？,復甦姿勢,平躺,半坐臥,1,,即使患者恢復呼吸心跳，若意識不清仍應保持復甦姿勢，以防再次昏迷或嘔吐
56,m_txt_055,choice_text,有名患者為大面積的嚴重燒傷，下列處置何者錯誤？,馬上大量沖水,不管是否傷口沾黏立即脫去衣物,靜脈注射補充電解質,2,,嚴重燒傷時，若衣物已與傷口沾黏，不應強行脫除，以免造成進一步傷害
57,m_txt_056,choice_text,對於昏迷或是意識不清的患者，要如何幫助其維持體溫？,給予患者熱飲,使用熱水,給予覆蓋毛毯,3,,昏迷或意識不清患者應以覆蓋毛毯等方式維持體溫，避免失溫
58,m_txt_057,choice_text,進行 CPR(心肺復甦術)每 2 分鐘，評估效果，應先檢查哪一項？,呼吸,脈搏,意識,2,,執行 CPR 每 2 分鐘應評估脈搏，確認循環是否恢復
59,m_txt_058,choice_text,成人有效的人工呼吸法為何？,口對鼻,隔空傳氣,口對口,3,,成人人工呼吸最有效的方法是口對口，能確保充足的空氣吹入肺部
60,m_txt_059,choice_text,開始施行心肺復甦術後，不可中斷超過幾秒鐘以上？,10 秒,13 秒,15 秒,1,,心肺復甦術應盡量不中斷，每次中斷時間不可超過 10 秒，以維持血液循環
61,m_txt_060,choice_text,施行 CPR(心肺復甦術)時，在給予人工呼吸時，若無法吹入氣體則應如何處理？,重新打開呼吸道，再吹 1 口氣,放棄急救,馬上施行胸部按壓,1,,人工呼吸無法吹入氣體時，應重新打開呼吸道，確認無阻塞後再嘗試吹氣
62,m_txt_061,choice_text,CPR(心肺復甦術)實施程序：「叫→叫→C→A→B→D」中的「D」是指,壓額提下巴,取得 AED(自動體外心臟去顫器)去顫,死亡,2,,CPR 口訣「叫叫 CAB(D)」中的「D」代表 Defibrillation，即使用 AED 進行電擊去顫
63,m_txt_062,choice_text,停止施行 CPR(心肺復甦術)的理由為何？,救護人員到達接替救護工作,傷患已恢復心跳,以上皆是,3,,停止 CPR 的理由包括專業救護人員接手，或患者恢復生命徵象
64,m_txt_063,choice_text,血色鮮紅血液連續作噴狀流出係：,靜脈出血,微血管出血,動脈出血,3,,鮮紅色血液呈噴射狀流出是動脈出血的典型特徵，因動脈壓力較高
65,m_txt_064,choice_text,斷骨穿出皮外大量流血時，應先,企圖把斷骨推回原位,止血,送醫,2,,斷骨穿出皮外伴隨大量出血時，應優先止血，避免大量失血危及生命
66,m_txt_065,choice_text,騎車途中，目睹車禍發生應,儘速駛離現場,暫留現場協助救護，並向警方處理人員作證,如有查詢謊稱未看到，以免波及官司,2,,目睹車禍應暫留現場協助救護，並作為目擊證人，提供警方資訊
73,m_txt_066,choice_text,機車發生交通事故後，關於事故現場清除作業，下列敘述何者正確？,事故雙方已完成拍照存證且對責任歸屬無爭議時，得逕行清除現場恢復交通,應等待肇事處理機關指示後，方可進行現場清除作業,僅造成車輛輕微損傷且未妨礙交通之事故，得自行清除現場後再行報案,2,,交通事故現場清除應等待警方或肇事處理機關指示，避免影響事故責任釐清及現場證據保全
74,m_txt_067,choice_text,機車發生道路交通事故後，關於車輛移置及報警義務，下列敘述何者正確？,無人傷亡且車輛尚能行駛時，應先標繪車輛位置或以攝影記錄後，將車輛移置不妨礙交通處，並仍應通知警察機關,無人傷亡且雙方當場和解者，應先標繪車輛位置後移置車輛，但得免通知警察機關,有人受傷時，無論當事人是否同意，均不得移動車輛，應維持現場完整等待警察到場,1,,無人傷亡事故若車輛可移動，應先標繪或攝影紀錄車輛位置，移至不阻礙交通處，但仍須通知警方處理
75,m_txt_068,choice_text,機車駕駛人肇事致他人受傷時，關於現場處置之優先順序，下列敘述何者正確？,應先報警並保持現場完整，待警方指示後再對傷者進行救護，以免影響肇責釐清,應立即對傷者採取救護措施並通知消防機關，同時依規定進行現場標示及報警,應先以攝影完整記錄現場及傷者位置後，再行救護並報警處理,2,,發生事故有人受傷時，應以傷者救護為優先，立即進行急救措施並通知消防機關，同時依規報警並標示現場
76,m_txt_069,choice_text,機車發生交通事故後，關於通報處理之方式，下列敘述何者正確？,應立即撥打 110 報案，簡要說明事故地點、傷亡情形，並依指示進行後續處置,應先完成現場拍照蒐證及車輛位置標繪後，再行報案以提供較完整之事故資訊,應先與對方確認雙方損害程度及責任歸屬後，再視情況決定是否報案,1,,交通事故後應立即撥打 110 報案，簡要說明事故地點與傷亡狀況，並依警方指示進行後續處理
77,m_txt_070,choice_text,駕駛人因違反道路交通管理處罰條例規定，其駕駛執照被吊銷後，除特定重大違規情形外，多久時間內不得重新考領？,應經 1 年,應經 3 年,應經 5 年,1,,駕駛執照遭吊銷後，除特定重大違規外，駕駛人須經 1 年後方可重新考領駕照
78,m_txt_071,choice_text,實行心肺復甦術（CPR）時，關於傷患的姿勢，下列何者正確？,傷患的頭部要高於心臟,確保傷患仰臥於堅硬的平面上,可隨意搬動傷患以利急救,2,,實施 CPR 時，為確保胸部按壓效果，傷患應仰臥於堅硬平面上，避免頭部高於心臟或隨意搬動
79,m_txt_072,choice_text,當病患疑似頸椎受傷時，急救時應如何處理呼吸道？,使用壓額抬下巴法暢通呼吸道,小心固定傷患頭頸部後，使用下顎推拉法暢通呼吸道,先確認是否清醒，再進行心肺復甦術,2,,疑似頸椎受傷患者，應小心固定頭頸部，並使用「下顎推拉法」暢通呼吸道，以避免加重頸椎傷害
80,m_txt_073,choice_text,在行車中途，精神疲勞，稍有睡意，你應該怎麼辦：,繼續駕駛,擦抹萬金油及藥物，助長精神照常行駛,到最近安全處所停車，下車稍作休息，消除疲勞再駕駛,3,,行車中感到疲勞或想睡時，應立即將車停於安全處所，下車休息，待精神恢復後再繼續駕駛
81,m_txt_074,choice_text,酒後駕車，對駕駛人會產生「視覺之隧道效應」，駕駛者猶如在隧道中行車，前有亮光但四周漆黑，故酒後駕車：,視野不變,視野變廣,視野變窄,3,,酒後駕車會導致「視覺之隧道效應」，使駕駛人視野變窄，降低對周圍環境的感知能力，極度危險
82,m_txt_075,choice_text,行駛於公路時，亂拋擲物品、煙蒂或火種：,是極不道德的危險行為,只要我高興有什麼不可以,避免車子髒亂，應該丟棄,1,,在公路上亂拋擲物品、煙蒂或火種是極不道德且危險的行為，可能引發火災或影響其他用路人安全
83,m_txt_076,choice_text,機車駕駛人以後輪著地、蛇行駕駛因而肇事者，應,僅勸導之,罰鍰並沒入車輛,罰鍰並吊銷其駕駛執照,3,,機車駕駛人以後輪著地或蛇行駕駛肇事，屬於危險駕駛行為，將處以罰鍰並吊銷駕駛執照
84,m_txt_077,choice_text,酒精濃度超過規定標準，駕車肇事致人重傷或死亡者，經吊銷駕駛執照後，依規定：,終身不得考領駕駛執照，且無重新考領之機會,終身不得考領駕駛執照，但符合特定條件得重新考領,3 年後得重新考領駕駛執照,1,,酒駕肇事致人重傷或死亡者，經吊銷駕照後，依規定將終身不得重新考領駕駛執照
85,m_txt_078,choice_text,駕駛人在道路上以蛇行或僅以後輪著地等危險方式駕車因而肇事者，應處,罰鍰並吊銷駕照,吊扣駕照,罰鍰,1,,駕駛人以蛇行或僅以後輪著地等危險方式駕車因而肇事，將處以罰鍰並吊銷駕駛執照
86,m_txt_079,choice_text,機車駕駛人行駛於道路時，以手持方式使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊或其他有礙駕駛安全之行為者，將受何種處分？,處罰鍰,僅施以道安講習,勸導,1,,機車駕駛人行駛中使用手持行動電話等裝置，會影響駕駛安全，將依法處以罰鍰
87,m_txt_080,choice_text,機車駕駛人患病影響安全駕駛、或飲用酒類後其吐氣所含酒精濃度達每公升 0.15 毫克者，,不得開車,照常可以駕駛,開車時不可太快,1,,駕駛人若患病影響安全駕駛，或酒精濃度達 0.15 毫克/公升，均不得駕車，以確保行車安全
88,m_txt_081,choice_text,機車所有人，明知駕駛人有酒後駕車之情形而不予禁止，除處以罰鍰外，並應吊扣其機車牌照,3 個月,1 年,2 年,3,,機車所有人若明知駕駛人酒駕而不予禁止，除罰鍰外，其機車牌照將被吊扣 2 年
89,m_txt_082,choice_text,駕駛人駕駛汽車經測試檢定，其吐氣所含酒精濃度不得達每公升,0.15 毫克,0.25 毫克,0.55 毫克,1,,駕駛人呼氣所含酒精濃度達每公升 0.15 毫克以上即屬違規，不得駕車
90,m_txt_083,choice_text,酒精、麻醉劑及興奮劑中毒者，可否參加駕駛執照考驗？,可以,不可以,須先通過直線平衡測試才可以,2,,酒精、麻醉劑及興奮劑中毒者，因其身心狀況不適宜駕駛，依法不得參加駕駛執照考驗
91,m_txt_084,choice_text,任意以迫近、驟然變換車道或其他不當方式，迫使他車讓道等危險方式駕車因而肇事者，應處,罰鍰,吊扣駕照,罰鍰並吊銷駕照,3,,以危險方式駕車迫使他車讓道並肇事，構成危險駕駛，將處以罰鍰並吊銷駕駛執照
92,m_txt_085,choice_text,非遇突發狀況，在行駛途中任意驟然減速、煞車或於車道中暫停等危險方式駕車因而肇事者，應處,罰鍰,吊扣駕照,罰鍰並吊銷駕照,3,,非突發狀況下任意驟然減速、煞車或停車肇事，屬危險駕駛，將處以罰鍰並吊銷駕駛執照
93,m_txt_086,choice_text,駕駛人駕駛汽車行經警察機關設有告示執行酒測或毒品檢定之處所，不依指示停車接受稽查，或拒絕接受該項測試之檢定者,處罰鍰，並當場移置保管該汽車,吊銷該駕駛執照及施以道路交通安全講習,以上皆是,3,,駕駛人拒絕酒測或毒品檢定，將處罰鍰、移置保管車輛，並吊銷駕照及施以道安講習
94,m_txt_087,choice_text,騎乘機車遭舉發違規酒駕，於何種違規樣態將處駕駛人新臺幣 9 萬元罰鍰、吊銷駕照 3 年及施以道路交通安全講習,於 10 年內第 2 次再次遭舉發違規酒駕,不依指示停車接受酒測稽查或拒絕酒測,以上皆是,1,,10 年內第 2 次酒駕違規，將處 9 萬元罰鍰、吊銷駕照 3 年並施以道安講習
95,m_txt_088,choice_text,騎乘機車遭舉發違規酒駕，於幾年內再次遭舉發違規酒駕，將處罰鍰 9 萬元、吊銷駕照 3 年，及施以道安講習之處分？,5 年,10 年,12 年,2,,機車駕駛人於 10 年內第 2 次酒駕，將處 9 萬元罰鍰、吊銷駕照 3 年及施以道安講習
96,m_txt_089,choice_text,機車駕駛人於下列何種情況下，可以使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊？,行進中,等待紅燈的時候,將機車停靠於路邊,3,,駕駛人僅在將機車停靠於路邊的安全處所後，方可使用行動電話等通訊裝置行進中或停等紅燈時使用皆屬違規
97,m_txt_090,choice_text,機車駕駛人於 10 年內，經測試檢定酒後駕車第 2 次，當場移置保管該機車及吊銷其駕駛執照 3 年，並處罰鍰新臺幣,6 萬元,9 萬元,12 萬元,2,,機車駕駛人 10 年內第 2 次酒駕，除移置保管車輛及吊銷駕照 3 年外，並處 9 萬元罰鍰
98,m_txt_091,choice_text,駕駛人任意以迫近、驟然變換車道或其他不當方式，迫使他車讓道者，除罰鍰外，並當場禁止其駕駛及吊扣該汽車牌照,3 個月,6 個月,12 個月,2,,任意迫使他車讓道等危險駕駛行為，除罰鍰外，將禁止駕駛並吊扣牌照 6 個月
99,m_txt_092,choice_text,有關機車號牌規定下列何者不正確？,應正面懸掛於車輛後端之明顯適當位置,不得變造損毀、塗抹或粘貼其他材料、加裝邊框或霓虹燈、裝置旋轉架,可裁剪或扭曲懸掛,3,,機車號牌不得裁剪或扭曲懸掛，應保持完整清晰並依規定位置懸掛，不得有任何變造或遮蔽
100,m_txt_093,choice_text,於身心障礙專用停車位違規停車者,罰鍰,吊扣牌照,勸導,1,,於身心障礙專用停車位違規停車者，將會被處以罰鍰，屬於嚴格禁止的行為
101,m_txt_094,choice_text,駕駛人不在未劃分標線道路之中央右側駕車者，應處：,吊扣駕駛執照,罰鍰,吊扣行車執照,2,,在未劃分標線道路行駛時，駕駛人應靠右行駛，若未依規定將處以罰鍰
102,m_txt_095,choice_text,汽車駕駛人於道路上併排停車，依規定應處罰鍰新臺幣：,"1,200 元以上 2,400 元以下","2,400 元以上 3,600 元以下","1,800 元以上 3,000 元以下",3,,"汽車駕駛人於道路上併排停車，嚴重影響交通，將處新臺幣 1,800 元以上 3,000 元以下罰鍰"
103,m_txt_096,choice_text,汽機車駕駛人經酒精濃度測試檢定超過標準值，第 1 次違規除罰鍰、當場移置保管該汽機車外，並吊扣駕駛執照：,3 個月,6 個月,1~2 年,3,,首次酒駕違規者，除罰鍰及移置保管車輛外，駕駛執照將被吊扣 1 至 2 年
104,m_txt_097,choice_text,機車所有人已領有號牌而不懸掛或不依指定位置懸掛者，應處罰：,罰鍰並吊扣牌照,罰鍰並吊銷牌照,罰鍰並禁止其行駛及吊銷牌照,3,,機車所有人未懸掛號牌或未依規定位置懸掛，將處罰鍰、禁止行駛並吊銷牌照
105,m_txt_098,choice_text,牌照借供他車使用或使用他車牌照行駛者，除罰鍰外，並應：,吊扣牌照,吊銷牌照,沒入車輛,2,,牌照借供他車使用或使用他車牌照行駛，屬於嚴重違規行為，除罰鍰外，並應吊銷牌照
106,m_txt_099,choice_text,機車所有人明知駕駛人酒精濃度超過規定標準，仍不予禁止其駕駛該機車，應處罰鍰新臺幣：,"15,000 元以上 90,000 元以下","30,000 元以上 120,000 元以下","6,000 元以上 12,000 元以下",1,,"機車所有人明知駕駛人酒駕卻不禁止，將處新臺幣 15,000 元以上 90,000 元以下罰鍰"
107,m_txt_100,choice_text,四輪以上車輛駕駛人於 10 年內，經測試檢定酒後駕車第 2 次，當場移置保管該汽車及吊銷其駕駛執照 3 年，並處罰鍰新臺幣,6 萬元,9 萬元,12 萬元,3,,四輪以上車輛駕駛人 10 年內第 2 次酒駕，除移置保管車輛及吊銷駕照 3 年外，並處 12 萬元罰鍰
108,m_txt_101,choice_text,"駕駛人若拒絕接受酒精濃度測試檢定者，除處罰鍰新臺幣 180,000 元，並：",吊銷其駕駛執照,吊扣其駕駛執照,吊扣其行車執照,1,,駕駛人拒絕酒測，除處 18 萬元罰鍰外，將會被吊銷駕駛執照
109,m_txt_102,choice_text,酒精濃度超過規定標準駕車之違規人，於 10 年內違反酒後駕車之規定 2 次以上者，除處罰鍰，及當場移置保管該機車，並應：,吊扣其行車執照,吊銷其駕駛執照,吊扣其駕駛執照,2,,10 年內 2 次以上酒駕違規者，除罰鍰及移置保管機車外，其駕駛執照將會被吊銷
110,m_txt_103,choice_text,駕駛人在快車道上依規定行駛，因行人或慢車不依規定，擅自進入快車道，而致人受傷或死亡，依法應負刑事責任者：,一樣不變,減輕其刑,加重其刑,2,,駕駛人依規定行駛，若因行人或慢車違規進入快車道致人傷亡，駕駛人的刑事責任依法可減輕
